2025-11-07T21:51:48.635290350Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-11-07T21:51:48.635295253Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-11-07T21:51:48.635302606Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-11-07T21:51:48.635303850Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:48.635310821Z [err]    File "/app/app.py", line 3, in <module>
2025-11-07T21:51:48.635312784Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-11-07T21:51:48.635318587Z [err]      from factory import create_app
2025-11-07T21:51:48.635322741Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-11-07T21:51:48.635330235Z [err]    File "/app/factory.py", line 15, in <module>
2025-11-07T21:51:48.635332161Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-11-07T21:51:48.635336937Z [err]      from auth import auth_bp
2025-11-07T21:51:48.635340592Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-11-07T21:51:48.635345202Z [err]    File "/app/auth.py", line 11, in <module>
2025-11-07T21:51:48.637286890Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/_async/auth_client.py", line 9, in <module>
2025-11-07T21:51:48.637296126Z [err]      from supabase_auth.http_clients import AsyncClient
2025-11-07T21:51:48.637302368Z [err]  ModuleNotFoundError: No module named 'supabase_auth.http_clients'
2025-11-07T21:51:48.637309151Z [err]  [2025-11-07 21:51:48 +0000] [2] [INFO] Worker exiting (pid: 2)
2025-11-07T21:51:49.181652688Z [err]  [2025-11-07 21:51:48 +0000] [1] [ERROR] Worker (pid:2) exited with code 3
2025-11-07T21:51:49.181658208Z [err]  [2025-11-07 21:51:48 +0000] [1] [ERROR] Shutting down: Master
2025-11-07T21:51:49.181682875Z [err]  [2025-11-07 21:51:48 +0000] [1] [ERROR] Reason: Worker failed to boot.
2025-11-07T21:51:50.267325364Z [err]  [2025-11-07 21:51:50 +0000] [1] [INFO] Starting gunicorn 23.0.0
2025-11-07T21:51:50.269047008Z [err]  [2025-11-07 21:51:50 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-11-07T21:51:50.269053348Z [err]  [2025-11-07 21:51:50 +0000] [1] [INFO] Using worker: eventlet
2025-11-07T21:51:50.275116525Z [err]  [2025-11-07 21:51:50 +0000] [2] [INFO] Booting worker with pid: 2
2025-11-07T21:51:51.176507992Z [err]  [2025-11-07 21:51:51 +0000] [2] [ERROR] Exception in worker process
2025-11-07T21:51:51.176512980Z [err]  Traceback (most recent call last):
2025-11-07T21:51:51.176518337Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 608, in spawn_worker
2025-11-07T21:51:51.176525730Z [err]      worker.init_process()
2025-11-07T21:51:51.176530814Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/geventlet.py", line 142, in init_process
2025-11-07T21:51:51.176535262Z [err]      super().init_process()
2025-11-07T21:51:51.176542356Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 135, in init_process
2025-11-07T21:51:51.176547783Z [err]      self.load_wsgi()
2025-11-07T21:51:51.176554316Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 147, in load_wsgi
2025-11-07T21:51:51.176559313Z [err]      self.wsgi = self.app.wsgi()
2025-11-07T21:51:51.176564175Z [err]                  ^^^^^^^^^^^^^^^
2025-11-07T21:51:51.176569137Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/base.py", line 66, in wsgi
2025-11-07T21:51:51.176581820Z [err]      self.callable = self.load()
2025-11-07T21:51:51.176587070Z [err]                      ^^^^^^^^^^^
2025-11-07T21:51:51.176591923Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 57, in load
2025-11-07T21:51:51.176597281Z [err]      return self.load_wsgiapp()
2025-11-07T21:51:51.176602388Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:51.176607406Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
2025-11-07T21:51:51.176611923Z [err]      return util.import_app(self.app_uri)
2025-11-07T21:51:51.176616243Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:51.176620777Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/util.py", line 370, in import_app
